loan_id,customer_id,loan_purpose,loan_amount,outstanding_balance,interest_rate,tenure_months,emi_amount,disbursal_date,loan_status
LN00047,CUST00047,Personal Loan,256000,188841.75,13.73,12,22952.99,2022-08-11,Active
LN00048,CUST00048,Business Loan,1128000,728068.34,13.54,180,14675.05,2022-12-16,Active
LN00049,CUST00049,Auto Loan,1186000,365924.22,10.03,84,19707.39,2021-10-26,Written-Off
LN00050,CUST00050,Home Loan,2995000,2121440.69,7.44,36,93080.61,2020-08-15,Active
LN00051,CUST00051,Personal Loan,283000,133585.7,14.48,48,7801.71,2021-05-05,90+ DPD
LN00052,CUST00052,Auto Loan,754000,471554.71,9.96,60,16005.44,2020-08-08,30 DPD
LN00053,CUST00053,Personal Loan,271000,187401.91,13.37,84,4984.7,2023-02-12,Active
LN00054,CUST00054,Auto Loan,661000,455823.92,9.07,120,8398.33,2023-03-19,Active
LN00055,CUST00055,Education Loan,483000,352605.2,9.91,24,22267.94,2022-06-04,Active
LN00056,CUST00056,Personal Loan,343000,237548.98,13.63,84,6357.92,2020-10-28,Active
LN00057,CUST00057,Gold Loan,191000,140428.82,9.06,60,3970.41,2022-07-28,Active
LN00058,CUST00058,Business Loan,1633000,1072726.16,12.75,60,36947.12,2023-10-15,30 DPD
LN00059,CUST00059,Home Loan,2986000,1356410.03,9.35,60,62492.9,2020-12-06,NPA
LN00060,CUST00060,Home Loan,1677000,1178134.19,8.76,60,34616.75,2022-09-25,Active
LN00061,CUST00061,Personal Loan,185000,122770.92,13.93,36,6316.57,2022-12-01,Active
LN00062,CUST00062,Home Loan,2450000,1773572.14,8.78,60,50596.78,2021-06-10,Active
LN00063,CUST00063,Personal Loan,390000,283919.98,14.84,36,13488.94,2023-05-18,Active
LN00064,CUST00064,Personal Loan,281000,90817.19,12.77,12,25067.84,2020-03-17,Written-Off
LN00065,CUST00065,Home Loan,2356000,1560360.78,7.63,48,57108.54,2021-01-06,Active
LN00066,CUST00066,Home Loan,3175000,2081309.83,7.55,12,275528.1,2020-01-27,30 DPD
LN00067,CUST00067,Home Loan,2480000,1804235.9,8.91,60,51372.46,2020-03-10,Active
LN00068,CUST00068,Home Loan,3276000,2297463.1,8.41,24,148777.95,2019-04-11,Active
LN00069,CUST00069,Personal Loan,165000,118128.51,12.61,48,4394.67,2022-06-25,Active
LN00070,CUST00070,Personal Loan,343000,178931.89,13.35,240,4104.33,2022-08-14,90+ DPD
LN00071,CUST00071,Business Loan,467000,313031.36,13.73,12,41871.28,2021-09-16,Active
LN00072,CUST00072,Home Loan,2700000,1807126.46,8.84,48,66984.67,2022-12-09,Active
LN00073,CUST00073,Business Loan,1270000,910779.02,13.18,84,23228.26,2019-04-15,Active
LN00074,CUST00074,Home Loan,1279000,889091.58,7.46,36,39761.36,2019-02-28,Active
LN00075,CUST00075,Auto Loan,218000,151539.63,10.23,60,4656.57,2019-07-29,Active
LN00076,CUST00076,Home Loan,3138000,2338927.28,8.91,36,99656.17,2019-04-05,Active
LN00077,CUST00077,Education Loan,567000,412450.66,10.05,36,18308.81,2020-08-24,Active
LN00078,CUST00078,Home Loan,1676000,1116725.16,8.3,120,20601.16,2022-09-29,Active
LN00079,CUST00079,Gold Loan,161000,109998.01,9.79,36,5179.16,2019-02-20,Active
LN00080,CUST00080,Home Loan,2094000,1530457.73,8.89,48,51999.97,2021-06-19,Active
LN00081,CUST00081,Home Loan,2366000,1527814.05,8.57,36,74765.56,2020-05-15,Active
LN00082,CUST00082,Personal Loan,276000,185918.41,13.16,36,9320.82,2020-12-15,Active
LN00083,CUST00083,Education Loan,300000,202715.27,8.31,36,9443.87,2020-07-17,Active
LN00084,CUST00084,Gold Loan,191000,130147.96,7.47,48,4615.5,2023-09-25,Active
LN00085,CUST00085,Personal Loan,205000,136663.85,12.96,60,4660.18,2022-03-09,Active
LN00086,CUST00086,Education Loan,514000,296698.18,9.38,84,8369.25,2022-01-30,60 DPD
LN00087,CUST00087,Auto Loan,837000,570786.75,9.46,60,17562.2,2021-07-07,Active
LN00088,CUST00088,Personal Loan,225000,100584.52,13.78,60,5209.73,2022-02-17,NPA
LN00089,CUST00089,Auto Loan,642000,428963.0,10.66,120,8720.44,2019-11-04,Active
LN00090,CUST00090,Home Loan,2118000,1119926.94,7.5,240,17062.46,2021-05-25,90+ DPD
LN00091,CUST00091,Personal Loan,455000,272539.87,13.94,60,10572.91,2020-04-17,30 DPD
LN00092,CUST00092,Education Loan,637000,468958.18,9.48,180,6644.03,2023-01-10,Active
LN00093,CUST00093,Personal Loan,368000,174250.33,12.12,60,8208.29,2019-03-17,90+ DPD
LN00094,CUST00094,Business Loan,1663000,722821.86,12.73,84,30009.66,2020-10-04,NPA
LN00095,CUST00095,Business Loan,1106000,802022.23,11.25,60,24185.24,2019-06-01,Active
LN00096,CUST00096,Business Loan,899000,622938.43,14.06,120,13990.9,2023-10-20,Active
LN00097,CUST00097,Home Loan,1420000,943142.16,9.43,48,35627.41,2020-08-13,Active
LN00098,CUST00098,Home Loan,1975000,1143926.64,8.39,84,31167.92,2021-05-12,60 DPD
LN00099,CUST00099,Home Loan,2619000,1707229.41,8.5,60,53732.8,2020-05-05,Active
LN00100,CUST00100,Gold Loan,192000,127050.44,7.89,120,2318.34,2020-02-09,Active
LN00101,CUST00101,Home Loan,2010000,625066.77,9.91,240,19277.23,2019-09-09,Written-Off
LN00102,CUST00102,Personal Loan,443000,199385.75,12.82,36,14888.04,2023-10-15,NPA
LN00103,CUST00103,Home Loan,1345000,940998.13,8.53,60,27614.19,2020-01-10,Active
LN00104,CUST00104,Home Loan,2218000,1543613.51,7.99,24,100304.02,2022-09-26,Active
LN00105,CUST00105,Home Loan,2803000,1817628.65,8.87,24,127887.21,2022-02-16,Active
LN00106,CUST00106,Home Loan,2598000,1884232.08,8.48,180,25553.09,2021-10-04,Active
LN00107,CUST00107,Personal Loan,343000,181981.52,13.0,60,7804.3,2019-06-02,60 DPD
LN00108,CUST00108,Gold Loan,156000,115925.07,9.37,48,3909.53,2023-03-28,Active
LN00109,CUST00109,Auto Loan,836000,539083.58,11.2,84,14402.42,2023-06-25,Active
LN00110,CUST00110,Auto Loan,649000,223060.04,10.04,60,13802.11,2023-10-12,Written-Off
LN00111,CUST00111,Personal Loan,273000,131891.72,11.75,36,9034.94,2022-01-02,90+ DPD
LN00112,CUST00112,Education Loan,376000,269302.77,9.8,36,12097.19,2020-12-10,Active
LN00113,CUST00113,Business Loan,1652000,1115078.44,10.82,60,35770.36,2023-09-17,Active
LN00114,CUST00114,Gold Loan,146000,48953.91,7.9,36,4568.38,2023-12-26,Written-Off
LN00115,CUST00115,Home Loan,2827000,1955235.63,7.32,24,126982.59,2022-03-26,Active
LN00116,CUST00116,Business Loan,937000,591932.02,12.56,48,24933.22,2022-05-29,30 DPD
LN00117,CUST00117,Home Loan,3694000,2405075.89,7.34,120,43540.57,2019-06-23,30 DPD
LN00118,CUST00118,Personal Loan,299000,176895.6,14.29,12,26887.16,2019-08-26,30 DPD
LN00119,CUST00119,Personal Loan,329000,219595.62,14.15,120,5137.98,2023-03-25,Active
LN00120,CUST00120,Auto Loan,517000,176627.44,9.31,60,10810.02,2021-02-02,Written-Off
LN00121,CUST00121,Auto Loan,1070000,777198.68,10.38,12,94259.21,2020-06-27,Active
LN00122,CUST00122,Home Loan,2663000,1994343.12,9.44,60,55849.91,2020-05-10,Active
LN00123,CUST00123,Education Loan,770000,492863.61,9.03,48,19172.45,2022-03-10,Active
LN00124,CUST00124,Personal Loan,246000,145755.73,14.49,120,3892.36,2019-06-30,30 DPD
LN00125,CUST00125,Home Loan,2169000,1465046.67,8.64,180,21537.37,2021-04-22,Active
LN00126,CUST00126,Personal Loan,253000,181023.34,12.95,36,8518.48,2019-04-08,Active
LN00127,CUST00127,Personal Loan,274000,184401.64,14.16,84,5159.01,2019-11-06,Active
LN00128,CUST00128,Home Loan,3003000,2031292.73,7.92,48,73199.29,2020-01-15,Active
LN00129,CUST00129,Home Loan,964000,639215.53,9.61,36,30929.36,2022-10-27,Active
LN00130,CUST00130,Gold Loan,148000,109494.72,8.08,36,4643.25,2022-12-07,Active
LN00131,CUST00131,Business Loan,766000,249904.91,13.05,84,13955.87,2020-11-21,Written-Off
LN00132,CUST00132,Home Loan,1834000,1202121.84,8.67,36,58039.44,2020-04-04,Active
LN00133,CUST00133,Auto Loan,798000,508633.57,10.57,60,17179.82,2022-04-15,30 DPD
LN00134,CUST00134,Personal Loan,327000,214330.37,13.19,120,4919.18,2021-05-12,Active
LN00135,CUST00135,Personal Loan,378000,252535.37,13.81,84,7044.11,2021-07-25,Active
LN00136,CUST00136,Personal Loan,335000,239796.89,11.48,120,4706.12,2020-04-14,Active
LN00137,CUST00137,Home Loan,2635000,1904565.44,8.67,36,83388.18,2020-12-30,Active
LN00138,CUST00138,Personal Loan,250000,171555.53,12.45,60,5618.13,2021-09-29,Active
LN00139,CUST00139,Home Loan,1805000,1184634.06,9.1,180,18415.04,2023-12-09,Active
LN00140,CUST00140,Personal Loan,354000,168551.47,13.07,12,31629.94,2020-01-04,90+ DPD
LN00141,CUST00141,Business Loan,923000,644443.85,11.56,84,16077.09,2020-04-30,Active
LN00142,CUST00142,Gold Loan,168000,96161.2,8.07,36,5269.94,2023-12-01,60 DPD
LN00143,CUST00143,Business Loan,999000,734486.33,12.15,84,17715.32,2020-07-10,Active
LN00144,CUST00144,Gold Loan,58000,31496.01,8.32,84,913.27,2021-08-27,60 DPD
LN00145,CUST00145,Home Loan,2863000,1833531.77,8.46,180,28126.01,2022-06-21,30 DPD
LN00146,CUST00146,Auto Loan,569000,362907.21,9.74,60,12016.9,2019-05-07,Active
LN00147,CUST00147,Home Loan,3148000,2173741.44,7.68,120,37663.72,2023-08-09,Active
LN00148,CUST00148,Business Loan,442000,301570.77,11.69,12,39207.09,2021-03-24,Active
LN00149,CUST00149,Education Loan,785000,415652.54,9.03,48,19545.94,2022-02-09,60 DPD
LN00150,CUST00150,Personal Loan,246000,130672.81,14.28,48,6756.92,2021-09-05,90+ DPD
LN00151,CUST00151,Personal Loan,342000,222182.58,14.41,60,8030.62,2023-01-05,Active
LN00152,CUST00152,Home Loan,1966000,1312036.32,7.44,60,39338.58,2019-09-28,Active
LN00153,CUST00153,Home Loan,2068000,1489112.58,8.65,180,20546.65,2022-08-30,Active
LN00154,CUST00154,Gold Loan,181000,119067.68,8.78,24,8250.68,2020-10-24,Active
LN00155,CUST00155,Business Loan,939000,493467.65,11.3,36,30875.23,2022-12-01,60 DPD
LN00156,CUST00156,Home Loan,2401000,1147181.98,8.62,180,23812.79,2022-06-14,NPA
LN00157,CUST00157,Home Loan,3137000,1907110.14,8.88,48,77885.75,2019-06-11,30 DPD
LN00158,CUST00158,Home Loan,2642000,1702314.25,7.0,60,52314.77,2022-11-05,Active
LN00159,CUST00159,Gold Loan,170000,111072.37,9.8,24,7828.95,2021-03-19,Active
LN00160,CUST00160,Business Loan,813000,488361.4,12.57,36,27225.1,2023-01-24,30 DPD
LN00161,CUST00161,Personal Loan,360000,268314.8,13.48,12,32235.35,2022-08-29,Active
LN00162,CUST00162,Auto Loan,723000,462221.68,9.3,24,33129.68,2022-07-28,Active
LN00163,CUST00163,Education Loan,565000,410579.42,9.89,60,11974.02,2021-08-07,Active
LN00164,CUST00164,Home Loan,2773000,2011403.91,7.98,84,43192.95,2020-07-09,Active
LN00165,CUST00165,Business Loan,1339000,928875.84,13.02,120,20008.51,2021-01-01,Active
LN00166,CUST00166,Personal Loan,345000,256145.69,14.22,36,11828.18,2022-03-10,Active
LN00167,CUST00167,Home Loan,1630000,486074.56,8.52,48,40192.13,2021-12-13,Written-Off
LN00168,CUST00168,Personal Loan,246000,170529.82,12.86,60,5579.64,2023-04-12,Active
LN00169,CUST00169,Auto Loan,748000,498178.73,10.4,24,34654.66,2020-06-03,Active
LN00170,CUST00170,Personal Loan,336000,243000.94,14.13,120,5243.25,2020-04-28,Active
LN00171,CUST00171,Auto Loan,422000,277249.81,9.73,60,8910.29,2023-03-06,Active
LN00172,CUST00172,Business Loan,702000,516634.14,12.33,180,8574.79,2019-06-20,Active
LN00173,CUST00173,Education Loan,664000,453589.06,9.12,24,30371.24,2020-01-11,Active
LN00174,CUST00174,Auto Loan,1113000,523115.8,8.61,24,50648.19,2020-12-10,90+ DPD
LN00175,CUST00175,Personal Loan,151000,69734.02,12.17,48,3989.02,2022-01-05,90+ DPD
LN00176,CUST00176,Home Loan,2694000,1926380.71,8.62,36,85192.82,2021-05-01,Active
LN00177,CUST00177,Personal Loan,304000,225553.22,14.72,84,5818.56,2022-04-21,Active
LN00178,CUST00178,Home Loan,3259000,2433203.32,7.73,180,30638.85,2023-09-24,Active
LN00179,CUST00179,Business Loan,1149000,845505.47,11.36,24,53744.65,2019-01-05,Active
LN00180,CUST00180,Business Loan,1249000,850972.09,12.24,36,41627.99,2020-07-24,Active
LN00181,CUST00181,Home Loan,789000,474493.65,8.53,36,24917.76,2022-06-14,60 DPD
LN00182,CUST00182,Education Loan,499000,354246.95,9.73,60,10536.1,2023-08-18,Active
LN00183,CUST00183,Auto Loan,510000,328757.81,10.41,60,10939.17,2023-03-03,Active
LN00184,CUST00184,Gold Loan,110000,72239.46,8.99,84,1769.24,2021-11-08,Active
LN00185,CUST00185,Personal Loan,190000,60366.22,13.61,84,3519.79,2019-03-06,Written-Off
LN00186,CUST00186,Auto Loan,748000,234555.58,9.1,60,15563.58,2022-09-07,Written-Off
LN00187,CUST00187,Personal Loan,330000,222847.18,13.17,60,7537.26,2019-08-24,Active
LN00188,CUST00188,Home Loan,2973000,2141108.04,9.51,120,38486.17,2020-10-27,Active
LN00189,CUST00189,Home Loan,2198000,1415784.52,8.88,48,54572.17,2019-10-16,Active
LN00190,CUST00190,Home Loan,3538000,1797547.33,8.72,12,308944.12,2019-08-24,90+ DPD
LN00191,CUST00191,Home Loan,1801000,1216345.12,7.8,36,56270.77,2021-01-18,Active
LN00192,CUST00192,Home Loan,1426000,1050635.17,7.86,12,123953.21,2020-02-26,Active
LN00193,CUST00193,Auto Loan,746000,480372.86,9.14,48,18613.87,2020-01-26,Active
LN00194,CUST00194,Auto Loan,556000,337718.8,8.53,48,13712.33,2021-01-02,60 DPD
LN00195,CUST00195,Gold Loan,174000,112509.14,8.78,24,7931.59,2021-01-25,Active
LN00196,CUST00196,Personal Loan,241000,165417.17,13.19,84,4409.2,2021-10-25,Active
LN00197,CUST00197,Business Loan,826000,436477.04,12.15,60,18436.59,2022-03-06,90+ DPD
LN00198,CUST00198,Auto Loan,561000,377953.31,10.83,36,18321.29,2022-11-21,Active
LN00199,CUST00199,Personal Loan,234000,155541.87,13.0,84,4256.92,2021-01-19,30 DPD
LN00200,CUST00200,Auto Loan,700000,522099.41,11.0,84,11985.71,2021-07-24,Active
LN00201,CUST00201,Auto Loan,750000,488481.71,10.41,36,24345.02,2021-12-07,Active
LN00202,CUST00202,Home Loan,1950000,970429.38,9.64,240,18355.2,2020-07-11,90+ DPD
LN00203,CUST00203,Education Loan,324000,214962.45,8.59,36,10241.4,2021-12-23,Active
LN00204,CUST00204,Auto Loan,805000,528271.07,10.94,84,13758.18,2020-12-04,30 DPD
LN00205,CUST00205,Gold Loan,167000,108491.35,8.46,180,1640.6,2020-06-24,Active
LN00206,CUST00206,Business Loan,1214000,879736.39,11.36,84,21017.14,2023-04-03,Active
LN00207,CUST00207,Auto Loan,481000,247094.01,9.95,84,7972.75,2023-08-21,90+ DPD
LN00208,CUST00208,Auto Loan,526000,372684.67,9.32,180,5435.63,2023-10-04,Active
LN00209,CUST00209,Business Loan,1247000,855890.87,12.34,36,41621.04,2021-11-08,Active
LN00210,CUST00210,Gold Loan,190000,94929.25,9.67,36,6101.37,2022-04-14,90+ DPD
LN00211,CUST00211,Education Loan,439000,132916.66,9.9,60,9305.87,2023-12-06,Written-Off
LN00212,CUST00212,Education Loan,357000,238426.84,9.45,120,4609.73,2023-10-15,Active
LN00213,CUST00213,Home Loan,1974000,1461266.01,9.44,60,41399.82,2023-03-17,Active
LN00214,CUST00214,Business Loan,710000,227699.56,12.34,240,7986.65,2021-01-14,Written-Off
LN00215,CUST00215,Home Loan,3098000,2115380.68,8.38,36,97624.06,2021-01-29,Active
LN00216,CUST00216,Personal Loan,364000,190310.54,13.4,120,5521.13,2019-08-06,60 DPD
LN00217,CUST00217,Personal Loan,307000,226254.54,12.79,180,3841.97,2023-04-24,Active
LN00218,CUST00218,Personal Loan,239000,140397.41,12.73,48,6379.79,2023-10-23,60 DPD
LN00219,CUST00219,Personal Loan,221000,116441.78,13.14,180,2816.57,2023-05-10,60 DPD
LN00220,CUST00220,Business Loan,815000,383999.71,11.16,36,26743.85,2023-11-19,90+ DPD
LN00221,CUST00221,Education Loan,367000,239068.21,8.58,180,3631.22,2023-02-23,Active
LN00222,CUST00222,Personal Loan,320000,227515.02,12.77,180,4000.47,2019-11-04,Active
LN00223,CUST00223,Auto Loan,860000,563624.23,10.86,24,40026.87,2023-01-18,Active
LN00224,CUST00224,Gold Loan,186000,139397.46,8.35,60,3802.64,2021-11-13,Active
LN00225,CUST00225,Personal Loan,220000,140032.91,14.16,60,5137.28,2019-10-10,30 DPD
LN00226,CUST00226,Personal Loan,246000,180906.03,12.99,24,11694.13,2023-11-05,Active
LN00227,CUST00227,Personal Loan,250000,146325.1,13.65,12,22405.63,2022-10-26,60 DPD
LN00228,CUST00228,Business Loan,1306000,836172.39,11.35,12,115639.77,2023-05-21,Active
LN00229,CUST00229,Personal Loan,180000,57529.69,13.66,60,4156.62,2023-09-26,Written-Off
LN00230,CUST00230,Gold Loan,150000,82738.25,10.82,60,3247.91,2022-02-16,60 DPD
LN00231,CUST00231,Personal Loan,221000,164561.28,12.94,180,2787.47,2019-09-06,Active
LN00232,CUST00232,Home Loan,2356000,1145974.23,8.27,48,57815.91,2019-03-03,90+ DPD
LN00233,CUST00233,Home Loan,3020000,1957317.06,7.55,84,46396.15,2021-10-17,30 DPD
LN00234,CUST00234,Personal Loan,271000,89009.32,14.38,12,24380.79,2022-11-24,Written-Off
LN00235,CUST00235,Auto Loan,542000,390441.61,11.01,84,9283.21,2022-03-09,Active
LN00236,CUST00236,Personal Loan,367000,236492.3,12.75,180,4583.23,2020-07-05,Active
LN00237,CUST00237,Personal Loan,312000,231570.67,13.37,48,8427.59,2022-05-26,Active
LN00238,CUST00238,Personal Loan,343000,185025.75,13.84,48,9345.48,2021-10-30,90+ DPD
LN00239,CUST00239,Business Loan,1079000,755155.69,12.05,60,24029.03,2021-08-17,Active
LN00240,CUST00240,Business Loan,636000,417207.55,11.26,48,16518.17,2020-07-20,Active
LN00241,CUST00241,Auto Loan,974000,716193.61,9.23,48,24344.54,2021-04-26,Active
LN00242,CUST00242,Gold Loan,141000,100155.61,8.01,36,4419.08,2021-10-04,Active
LN00243,CUST00243,Auto Loan,877000,620646.65,10.82,48,22589.94,2022-01-17,Active
LN00244,CUST00244,Home Loan,2237000,1494900.02,9.03,84,36025.34,2023-03-20,30 DPD
LN00245,CUST00245,Home Loan,2924000,2104668.6,9.83,180,31118.05,2020-04-18,Active
LN00246,CUST00246,Personal Loan,391000,289720.71,12.69,60,8834.53,2022-06-30,Active
LN00247,CUST00247,Personal Loan,379000,282441.49,13.74,12,33982.97,2022-11-07,Active
LN00248,CUST00248,Business Loan,1032000,502517.3,12.11,36,34331.41,2021-11-12,90+ DPD
LN00249,CUST00249,Business Loan,898000,481874.95,12.3,180,10951.43,2023-06-25,60 DPD
LN00250,CUST00250,Home Loan,1444000,983166.98,8.99,180,14637.42,2020-07-14,Active
LN00251,CUST00251,Personal Loan,189000,141059.14,16.06,24,9259.45,2019-12-28,Active
LN00252,CUST00252,Auto Loan,934000,615536.83,12.53,180,11530.0,2021-02-10,Active
LN00253,CUST00253,Gold Loan,113000,79551.95,9.29,180,1165.7,2022-11-09,Active
LN00254,CUST00254,Home Loan,3103000,1632826.1,9.79,48,78387.52,2021-08-18,60 DPD
LN00255,CUST00255,Personal Loan,382000,279301.08,12.81,84,6909.93,2020-11-09,Active
LN00256,CUST00256,Gold Loan,170000,98538.95,8.92,60,3522.32,2022-11-11,60 DPD
LN00257,CUST00257,Gold Loan,168000,116967.88,8.36,48,4129.82,2022-06-17,Active
LN00258,CUST00258,Personal Loan,195000,99455.71,13.7,36,6636.26,2022-08-31,90+ DPD
LN00259,CUST00259,Home Loan,1488000,968194.16,8.92,48,36972.44,2020-09-15,Active
LN00260,CUST00260,Auto Loan,562000,412739.61,11.84,180,6687.2,2019-07-26,Active
LN00261,CUST00261,Business Loan,1496000,916590.8,11.25,120,20819.67,2021-01-28,30 DPD
LN00262,CUST00262,Personal Loan,424000,278367.18,14.56,48,11705.88,2022-06-12,Active
LN00263,CUST00263,Business Loan,1011000,413564.95,11.67,60,22320.91,2019-10-01,NPA
LN00264,CUST00264,Personal Loan,416000,125085.73,13.05,48,11170.56,2022-03-18,Written-Off
LN00265,CUST00265,Auto Loan,504000,359382.23,9.81,60,10661.45,2020-07-21,Active
LN00266,CUST00266,Auto Loan,622000,446799.74,11.58,84,10840.78,2020-11-22,Active
LN00267,CUST00267,Personal Loan,443000,289832.06,11.93,60,9838.63,2022-07-28,Active
LN00268,CUST00268,Personal Loan,489000,248442.86,13.86,36,16679.63,2019-06-09,90+ DPD
LN00269,CUST00269,Personal Loan,369000,255288.66,14.4,36,12683.35,2021-12-29,Active
LN00270,CUST00270,Business Loan,523000,388554.37,11.23,60,11431.37,2022-09-25,Active
LN00271,CUST00271,Home Loan,3512000,2034733.77,8.93,84,56380.16,2022-06-18,60 DPD
LN00272,CUST00272,Auto Loan,644000,448247.95,9.42,60,13500.04,2021-07-13,Active
LN00273,CUST00273,Auto Loan,852000,266163.32,11.57,60,18767.66,2020-12-09,Written-Off
LN00274,CUST00274,Personal Loan,309000,213040.64,12.47,84,5532.67,2019-06-12,Active
LN00275,CUST00275,Business Loan,1302000,866219.22,12.46,60,29265.83,2022-01-11,Active
LN00276,CUST00276,Auto Loan,710000,506811.29,9.65,240,6687.83,2023-06-27,Active
LN00277,CUST00277,Auto Loan,1273000,573835.32,9.89,36,41010.42,2023-01-23,NPA
LN00278,CUST00278,Auto Loan,903000,605760.7,9.77,180,9577.02,2022-03-30,Active
LN00279,CUST00279,Auto Loan,436000,278542.07,10.89,36,14251.38,2023-06-26,Active
LN00280,CUST00280,Home Loan,1241000,841700.92,8.66,60,25556.82,2019-08-28,30 DPD
LN00281,CUST00281,Business Loan,500000,205907.67,10.88,60,10841.31,2023-10-02,NPA
LN00282,CUST00282,Home Loan,2946000,2059368.55,8.81,48,73045.84,2020-04-30,Active
LN00283,CUST00283,Auto Loan,902000,661483.48,10.23,180,9820.25,2020-11-01,Active
LN00284,CUST00284,Auto Loan,151000,106813.02,10.84,36,4932.11,2022-05-11,Active
LN00285,CUST00285,Home Loan,3416000,2403257.27,8.78,84,54579.66,2020-02-28,Active
LN00286,CUST00286,Home Loan,2763000,1983692.23,7.29,120,32495.26,2021-10-14,Active
LN00287,CUST00287,Home Loan,3713000,2029872.9,9.45,36,118851.58,2022-05-05,60 DPD
LN00288,CUST00288,Home Loan,1774000,564054.2,9.42,240,16443.44,2021-12-01,Written-Off
